ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1411,"Jacobs, Robert Walter",1868,1945,,"Dreaming (Jacobs, Robert Walter)",2 guitars,https://imslp.org/wiki/Dreaming_(Jacobs%2C_Robert_Walter)
1412,"Janon, Charles de",1834,1911,,"Dreamland Mazurka (Janon, Charles de)",guitar,https://imslp.org/wiki/Dreamland_Mazurka_(Janon%2C_Charles_de)
1413,"Odell, Herbert Forrest",1872,1926,,"A Dreamlet (Odell, Herbert Forrest)",2 guitars (2nd ad lib.),https://imslp.org/wiki/A_Dreamlet_(Odell%2C_Herbert_Forrest)
1414,"Folwell, John C.",,,,"Dreams of Home (Folwell, John C.)",guitar,https://imslp.org/wiki/Dreams_of_Home_(Folwell%2C_John_C.)
1415,"Saman, Rob",,,,"Dreamy (Saman, Rob)","guitar, strings",https://imslp.org/wiki/Dreamy_(Saman%2C_Rob)
1416,"Dorn, Charles James",1839,1909,,"Dream (Dorn, Charles James)",guitar,https://imslp.org/wiki/Dream_(Dorn%2C_Charles_James)
1417,"Ohcawara, Yoshie",1904,1935,,"Dream (Ohcawara, Yoshie)",guitar,https://imslp.org/wiki/Dream_(Ohcawara%2C_Yoshie)
1418,"Hůrka, Friedrich Franz",1762,1805,,"Die drei Rosen (Hůrka, Friedrich Franz)","2 voices, chorus, piano or guitar",https://imslp.org/wiki/Die_drei_Rosen_(H%C5%AFrka%2C_Friedrich_Franz)
1419,"Visser, Dick",1926,2012,,"Drie op 'n ry (Visser, Dick)",3 guitars,https://imslp.org/wiki/Drie_op_'n_ry_(Visser%2C_Dick)
1420,"Dich, Arne",,,,"Dronning Dagmar (Dich, Arne)","2 sopranos, oboe, strings, four-hand piano and guitar",https://imslp.org/wiki/Dronning_Dagmar_(Dich%2C_Arne)
1421,"Alink, Bert",,,,"Droplets (Alink, Bert)",guitar,https://imslp.org/wiki/Droplets_(Alink%2C_Bert)
1422,"Weidt, Albert John",1866,1945,,"Drowsy Land (Weidt, Albert John)",guitar,https://imslp.org/wiki/Drowsy_Land_(Weidt%2C_Albert_John)
1423,"Azat, Cagatay",,,,"Drunk (Azat, Cagatay)",Guitar Solo,https://imslp.org/wiki/Drunk_(Azat%2C_Cagatay)
1424,"Jenner, George",,,,"Dry Romances (Jenner, George)","flute, guitar",https://imslp.org/wiki/Dry_Romances_(Jenner%2C_George)
1425,"Rusanov, Valerian",1866,1918,,"Dubinushka (Rusanov, Valerian)","voice, guitar",https://imslp.org/wiki/Dubinushka_(Rusanov%2C_Valerian)
1426,"Moretti, Federico",1769,1839,,"La duda (Moretti, Federico)","voice, piano, guitar",https://imslp.org/wiki/La_duda_(Moretti%2C_Federico)
1427,"Küffner, Joseph",1776,1856,,"Duet Concertante for the Guitar and Piano No.2 (Küffner, Joseph)","piano, guitar",https://imslp.org/wiki/Duet_Concertante_for_the_Guitar_and_Piano_No.2_(K%C3%BCffner%2C_Joseph)
1428,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1829 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1829_(Beatty%2C_Stephen_W.)
1429,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1830 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1830_(Beatty%2C_Stephen_W.)
1430,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1831 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1831_(Beatty%2C_Stephen_W.)
1431,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1832 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1832_(Beatty%2C_Stephen_W.)
1432,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1833 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1833_(Beatty%2C_Stephen_W.)
1433,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1834 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1834_(Beatty%2C_Stephen_W.)
1434,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1835 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1835_(Beatty%2C_Stephen_W.)
1435,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1836 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1836_(Beatty%2C_Stephen_W.)
1436,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1837 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1837_(Beatty%2C_Stephen_W.)
1437,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1838 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1838_(Beatty%2C_Stephen_W.)
1438,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1839 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1839_(Beatty%2C_Stephen_W.)
1439,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1879 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1879_(Beatty%2C_Stephen_W.)
1440,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1880 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1880_(Beatty%2C_Stephen_W.)
1441,"Beatty, Stephen W.",,,,"Duet for 2 Guitars, Op.1891 (Beatty, Stephen W.)",2 guitars,https://imslp.org/wiki/Duet_for_2_Guitars%2C_Op.1891_(Beatty%2C_Stephen_W.)
1442,"Beatty, Stephen W.",,,,"Duet for Alto Recorder and Guitar, Op.1860 (Beatty, Stephen W.)","recorder, guitar",https://imslp.org/wiki/Duet_for_Alto_Recorder_and_Guitar%2C_Op.1860_(Beatty%2C_Stephen_W.)
1443,"Beatty, Stephen W.",,,,"Duet for Bassoon and Guitar, Op.1845 (Beatty, Stephen W.)","bassoon, guitar",https://imslp.org/wiki/Duet_for_Bassoon_and_Guitar%2C_Op.1845_(Beatty%2C_Stephen_W.)
1444,"Beatty, Stephen W.",,,,"Duet for Bassoon and Guitar, Op.1846 (Beatty, Stephen W.)","bassoon, guitar",https://imslp.org/wiki/Duet_for_Bassoon_and_Guitar%2C_Op.1846_(Beatty%2C_Stephen_W.)
1445,"Beatty, Stephen W.",,,,"Duet for Bassoon and Guitar, Op.1865 (Beatty, Stephen W.)","bassoon, guitar",https://imslp.org/wiki/Duet_for_Bassoon_and_Guitar%2C_Op.1865_(Beatty%2C_Stephen_W.)
1446,"Beatty, Stephen W.",,,,"Duet for Cello and Guitar, Op.1848 (Beatty, Stephen W.)","guitar, cello",https://imslp.org/wiki/Duet_for_Cello_and_Guitar%2C_Op.1848_(Beatty%2C_Stephen_W.)
1447,"Beatty, Stephen W.",,,,"Duet for Clarinet and Guitar, Op.1844 (Beatty, Stephen W.)","clarinet, guitar",https://imslp.org/wiki/Duet_for_Clarinet_and_Guitar%2C_Op.1844_(Beatty%2C_Stephen_W.)
